nombre;club;posicion;minutos;partidos_jugados;goles;asistencias;distancia
M. Kerzhakov;Zenit;Goalkeeper;180;2;0;0;106
Onana;Ajax;Goalkeeper;180;2;0;0;84
Mudryk;Shakhtar Donetsk;Midfielder;179;6;0;0;242
L. de Jong;Barcelona;Forward;179;3;0;0;223
Rugani;Juventus;Defender;177;4;0;0;217
Chalobah;Chelsea;Defender;175;3;1;0;204
Elanga;Man. United;Forward;172;3;1;0;23
Paulo Otávio;Wolfsburg;Defender;171;4;0;0;202
Wolf;Dortmund;Midfielder;170;5;0;0;243
Pongračić;Dortmund;Defender;170;5;0;0;206
Sergi Roberto;Barcelona;Midfielder;169;3;0;0;22
Kean;Juventus;Forward;168;6;1;0;206
Gomes;LOSC;Midfielder;168;4;1;1;197
Óliver Torres;Sevilla;Midfielder;168;4;0;0;258
Lefort;Young Boys;Defender;167;3;0;0;211
Diallo;Paris;Defender;165;2;0;0;179
Ricca;Club Brugge;Defender;164;4;0;0;219
Tiago Tomás;Sporting CP;Forward;162;5;0;0;221
Van Der Brempt;Club Brugge;Defender;162;5;0;0;215
Tymchyk;Dynamo Kyiv;Defender;160;4;0;0;22
Ibrahimović;Milan;Forward;160;4;0;0;164
Saúl Ñíguez;Chelsea;Midfielder;159;5;0;0;23
Pedri;Barcelona;Midfielder;158;2;0;0;207
Pizzi;Benfica;Midfielder;157;6;0;0;212
Vormer;Club Brugge;Midfielder;156;4;0;1;209
Hutchinson;Beşiktaş;Midfielder;156;4;0;0;199
Yansané;Sheriff;Forward;156;3;1;0;216
Alexis Sánchez;Inter;Forward;155;6;1;1;19
Meite;Benfica;Midfielder;155;3;0;0;199
Fábio Cardoso;Porto;Defender;155;2;0;0;187
Karavaev;Dynamo Kyiv;Defender;154;6;0;0;216
Fati;Barcelona;Forward;154;3;1;0;197
Mostovoy;Zenit;Midfielder;150;5;0;0;209
Poulsen;Leipzig;Forward;147;4;0;1;188
D'Ambrosio;Inter;Defender;147;3;0;0;192
Schuurs;Ajax;Defender;146;3;0;1;144
Toni Martínez;Porto;Forward;144;6;0;0;196
Matheus Cunha;Atlético;Forward;142;5;0;0;183
T. Hazard;Dortmund;Midfielder;142;3;0;0;19
Tagliafico;Ajax;Defender;139;3;0;1;166
Draxler;Paris;Forward;136;3;0;0;151
Rıdvan Yılmaz;Beşiktaş;Defender;135;2;0;0;153
Sabitzer;Bayern;Midfielder;133;5;0;0;196
Daniel Bragança;Sporting CP;Midfielder;131;5;0;0;189
Diogo Gonçalves;Benfica;Midfielder;131;5;0;0;18
Wendell;Porto;Defender;131;4;0;0;16
Mechele;Club Brugge;Defender;131;3;0;0;165
Muriel;Atalanta;Forward;130;5;1;0;169
Aurier;Villarreal;Defender;129;5;0;1;159
Reinier;Dortmund;Forward;126;3;0;0;167
Marcano;Porto;Defender;126;2;0;0;148
Sarr;Bayern;Defender;125;5;0;0;173
Rekik;Sevilla;Defender;125;4;0;0;151
Vecino;Inter;Midfielder;124;4;0;0;189
Lewicki;Malmö;Midfielder;123;2;0;0;146
Dembélé;Barcelona;Forward;122;3;0;0;148
Lamela;Sevilla;Midfielder;119;4;0;0;176
Waldschmidt;Wolfsburg;Forward;119;3;0;0;156
Rebić;Milan;Forward;117;2;1;0;13
Lingard;Man. United;Midfielder;116;4;0;1;14
Abubakari;Malmö;Forward;116;4;0;0;153
Brobbey;Leipzig;Forward;115;5;0;0;143
Messias Junior;Milan;Forward;115;2;1;0;156
Lázaro;Benfica;Midfielder;114;6;0;0;156
Maceiras;Young Boys;Defender;113;3;0;0;16
Salih Uçan;Beşiktaş;Midfielder;109;5;0;0;154
Coutinho;Barcelona;Forward;109;4;0;0;143
Correa;Inter;Forward;106;5;0;0;148
Erokhin;Zenit;Midfielder;104;6;0;0;157
Shkurin;Dynamo Kyiv;Forward;104;2;0;0;14
Slimani;Sporting CP;Forward;104;2;0;0;124
Demir;Barcelona;Midfielder;101;3;0;0;128
Gosens;Atalanta;Midfielder;101;2;1;0;121
Traoré;Shakhtar Donetsk;Forward;101;2;0;0;105
Tigges;Dortmund;Forward;100;2;0;0;134
Sarr;Chelsea;Defender;100;2;0;0;119
Ranocchia;Inter;Defender;98;3;0;0;109
Nikolov;Sheriff;Midfielder;97;5;1;0;146
Zagadou;Dortmund;Defender;97;2;0;0;123
Mata;Man. United;Midfielder;96;3;0;0;132
Barkley;Chelsea;Midfielder;96;3;0;0;127
Andriyevskiy;Dynamo Kyiv;Midfielder;94;2;0;0;129
Vitinho;Dynamo Kyiv;Midfielder;93;3;0;0;135
Mario Gaspar;Villarreal;Defender;93;2;0;0;108
Verbič;Dynamo Kyiv;Midfielder;91;3;0;0;131
Ballo;Milan;Defender;91;2;0;0;116
Philipp;Wolfsburg;Forward;90;2;0;0;111
Hateboer;Atalanta;Defender;90;1;0;0;118
N'Koudou;Beşiktaş;Midfielder;90;1;0;0;109
Egan-Riley;Man. City;Defender;90;1;0;0;108
Shabanov;Dynamo Kyiv;Defender;90;1;0;0;107
Bondar;Shakhtar Donetsk;Defender;90;1;0;0;102
Lustenberger;Young Boys;Defender;90;1;0;0;102
Serdar Saatçı;Beşiktaş;Defender;90;1;0;0;95
Vitão;Shakhtar Donetsk;Defender;90;1;0;0;94
Ulreich;Bayern;Goalkeeper;90;1;0;0;62
Martínez;Leipzig;Goalkeeper;90;1;0;0;6
Pervan;Wolfsburg;Goalkeeper;90;1;0;0;57
Kepa;Chelsea;Goalkeeper;90;1;0;0;56
João Virginia;Sporting CP;Goalkeeper;90;1;0;0;54
Günok;Beşiktaş;Goalkeeper;90;1;0;0;48
Celeadnic;Sheriff;Goalkeeper;90;1;0;0;47
Boyko;Dynamo Kyiv;Goalkeeper;90;1;0;0;45
Perin;Juventus;Goalkeeper;90;1;0;0;43
Steffen;Man. City;Goalkeeper;90;1;0;0;4
Nanasi;Malmö;Midfielder;89;2;0;0;124
Florenzi;Milan;Defender;88;4;0;0;126
Olmo;Leipzig;Forward;88;2;0;1;109
Fábio Vieira;Porto;Midfielder;85;2;0;1;11
Bondarenko;Shakhtar Donetsk;Midfielder;84;2;0;0;118
Piątkowski;Salzburg;Defender;84;2;0;0;98
Nalić;Malmö;Midfielder;83;5;0;0;136
Korniienko;Shakhtar Donetsk;Defender;83;2;0;0;112
En-Nesyri;Sevilla;Forward;83;2;0;0;102
Supryaha;Dynamo Kyiv;Forward;81;2;0;0;109
De Winter;Juventus;Defender;81;2;0;0;108
Kulusevski;Juventus;Midfielder;80;5;1;0;143
Augustinsson;Sevilla;Defender;80;3;0;0;111
Radeljić;Sheriff;Defender;79;3;0;0;102
Jovane Cabral;Sporting CP;Forward;79;3;0;0;98
Marc Roca;Bayern;Defender;78;4;0;0;116
Kanga;Young Boys;Forward;75;5;0;0;101
Cavani;Man. United;Forward;75;4;0;0;117
Gökhan Töre;Beşiktaş;Midfielder;75;4;0;0;112
Emre Can;Dortmund;Defender;74;2;0;0;84
Alcácer;Villarreal;Forward;73;3;1;0;10
Esteves;Sporting CP;Defender;73;1;0;0;84
Rensch;Ajax;Defender;71;5;0;0;138
Ferran Torres;Man. City;Forward;71;1;0;0;81
Kehrer;Paris;Defender;70;4;0;0;83
Krugovoi;Zenit;Defender;68;6;0;0;118
Dost;Club Brugge;Forward;68;3;0;0;86
Diallo;Man. United;Midfielder;68;1;0;0;83
Henderson;Man. United;Goalkeeper;68;1;0;0;44
Martial;Man. United;Forward;67;2;0;0;71
Gagliardini;Inter;Midfielder;66;5;0;0;116
Rúben Vinagre;Sporting CP;Defender;63;2;0;0;78
Mambimbi;Young Boys;Forward;60;4;0;0;94
Moriba;Leipzig;Midfielder;60;3;0;0;87
Passlack;Dortmund;Midfielder;60;2;0;0;76
Bakayoko;Milan;Defender;56;3;0;0;81
Pezzella;Atalanta;Defender;56;3;0;0;81
Sudakov;Shakhtar Donetsk;Midfielder;56;2;0;0;83
Sandra;Club Brugge;Midfielder;56;1;0;0;69
Mbamba-Muanda;Club Brugge;Defender;55;3;0;0;87
Shepeliev;Dynamo Kyiv;Midfielder;54;2;0;0;87
Richards;Bayern;Defender;52;4;0;0;85
Julien;Sheriff;Defender;52;3;0;0;72
Oğuzhan Özyakup;Beşiktaş;Midfielder;52;2;0;0;74
Daramy;Ajax;Forward;52;2;0;0;64
Henrichs;Leipzig;Defender;51;4;0;0;72
Choupo-Moting;Bayern;Midfielder;49;4;1;0;67
Yusuf Yazıcı;LOSC;Midfielder;47;4;0;0;87
Icardi;Paris;Forward;47;3;0;0;65
McAtee;Man. City;Midfielder;45;1;0;0;62
Lovato;Atalanta;Defender;45;1;0;0;53
Palmer;Man. City;Midfielder;40;3;1;0;7
Paulo Bernardo;Benfica;Midfielder;39;5;0;0;83
Kjærgaard;Salzburg;Midfielder;38;4;1;0;79
Taylor;Ajax;Midfielder;38;3;0;0;66
Francisco Conceição;Porto;Forward;37;2;0;0;54
F. Nmecha;Wolfsburg;Midfielder;36;2;0;0;66
Pepê;Porto;Forward;34;3;0;0;57
Al. Miranchuk;Atalanta;Forward;33;2;0;1;48
Edwards;Sporting CP;Forward;32;1;0;0;4
Radonjić;Benfica;Forward;31;1;0;0;39
Mengi;Man. United;Defender;29;1;0;0;37
Wesley;Club Brugge;Forward;26;2;0;0;37
Mandi;Villarreal;Defender;24;2;0;0;37
Kudus;Ajax;Midfielder;24;2;0;0;35
Novoa;Leipzig;Midfielder;24;1;0;1;36
Lihadji;LOSC;Forward;23;3;0;0;45
Bernardo;Salzburg;Defender;23;2;0;1;42
Tijani;Salzburg;Midfielder;23;1;0;0;31
Ben Arfa;LOSC;Midfielder;22;2;0;0;36
Óscar Rodríguez;Sevilla;Midfielder;22;1;0;0;38
Shoretire;Man. United;Midfielder;22;1;0;0;33
Heaton;Man. United;Goalkeeper;22;1;0;0;19
Stanišić;Bayern;Defender;21;2;0;1;36
Knauff;Dortmund;Midfielder;20;3;0;0;51
Maldini;Milan;Forward;20;3;0;0;42
Moukoko;Dortmund;Forward;20;1;0;0;32
Iván Romero;Sevilla;Forward;20;1;0;0;27
Flávio Nazinho;Sporting CP;Defender;19;2;0;0;4
Balde;Barcelona;Defender;19;2;0;0;37
Tillman;Bayern;Midfielder;18;2;0;0;36
Peña;Villarreal;Defender;18;2;0;0;33
Ricard Puig;Barcelona;Midfielder;17;1;0;0;24
Berkay Vardar;Beşiktaş;Midfielder;17;1;0;0;19
Carson;Man. City;Goalkeeper;17;1;0;0;11
Eric Ramirez;Dynamo Kyiv;Forward;16;2;0;0;27
Cojocaru;Sheriff;Midfielder;15;2;0;0;36
Javi Serrano;Atlético;Midfielder;15;1;0;0;24
Agüero;Barcelona;Forward;15;1;0;0;19
Ramsey;Juventus;Midfielder;14;2;0;0;32
Kravtsov;Zenit;Midfielder;14;2;0;0;3
Bradarić;LOSC;Defender;13;1;0;0;2
Ozdoev;Zenit;Midfielder;11;1;1;0;22
Bruno Costa;Porto;Midfielder;11;1;0;0;2
Raba;Villarreal;Midfielder;11;1;0;0;17
Iborra;Villarreal;Midfielder;10;1;0;0;18
Bonnah;Leipzig;Midfielder;10;1;0;0;16
Sensi;Inter;Midfielder;9;2;0;0;22
Lednev;Dynamo Kyiv;Midfielder;9;1;0;0;21
Zhegrova;LOSC;Midfielder;9;1;0;0;19
Seferović;Benfica;Forward;9;1;0;0;18
Zakaria;Juventus;Midfielder;9;1;0;0;18
Dário Essugo;Sporting CP;Midfielder;9;1;0;0;18
Spielmann;Young Boys;Midfielder;8;1;0;0;15
Izquierdo;Club Brugge;Forward;8;1;0;0;13
Chiellini;Juventus;Defender;7;1;0;0;13
Dina Ebimbe;Paris;Midfielder;7;1;0;0;12
Sulejmani;Young Boys;Midfielder;7;1;0;0;
Delap;Man. City;Forward;6;1;0;0;12
Mbete;Man. City;Defender;6;1;0;0;11
Kolarov;Inter;Defender;5;1;0;0;11
Šimić;Salzburg;Forward;4;1;0;0;13
Guindo;Salzburg;Defender;4;1;0;0;12
Dentinho;Shakhtar Donetsk;Midfielder;4;1;0;0;1
Shevchenko;Shakhtar Donetsk;Goalkeeper;4;1;0;0;5
Maier;Young Boys;Midfielder;3;1;0;0;13
Luca Pellegrini;Juventus;Defender;3;1;0;0;1
Kuznetsov;Zenit;Forward;3;1;0;0;9
Eile;Malmö;Defender;3;1;0;0;8
Ginczek;Wolfsburg;Forward;2;1;0;0;11
Savage;Man. United;Midfielder;1;1;0;0;1
Iqbal;Man. United;Midfielder;1;1;0;0;1
Da Graca;Juventus;Forward;1;1;0;0;8
Miretti;Juventus;Midfielder;1;1;0;0;8
Gil Dias;Benfica;Midfielder;1;1;0;0;7
Rodrigo Ribeiro;Sporting CP;Forward;1;1;0;0;7
Cojocari;Sheriff;Defender;1;1;0;0;5
Maouassa;Club Brugge;Defender;1;1;0;0;2
Zesiger;Young Boys;Defender;1;1;0;0;
